Region X Date,target
Afghanistan X 3/6/20,0
Afghanistan X 3/7/20,0
Afghanistan X 3/8/20,0
Afghanistan X 3/9/20,0
Afghanistan X 3/10/20,0
Afghanistan X 3/11/20,0
Afghanistan X 3/12/20,0
Albania X 3/6/20,0
Albania X 3/7/20,0
Albania X 3/8/20,0
Albania X 3/9/20,0
Albania X 3/10/20,0
Albania X 3/11/20,0
Albania X 3/12/20,0
Algeria X 3/6/20,0
Algeria X 3/7/20,0
Algeria X 3/8/20,0
Algeria X 3/9/20,0
Algeria X 3/10/20,0
Algeria X 3/11/20,0
Algeria X 3/12/20,0
Andorra X 3/6/20,0
Andorra X 3/7/20,0
Andorra X 3/8/20,0
Andorra X 3/9/20,0
Andorra X 3/10/20,0
Andorra X 3/11/20,0
Andorra X 3/12/20,0
Argentina X 3/6/20,0
Argentina X 3/7/20,0
Argentina X 3/8/20,0
Argentina X 3/9/20,0
Argentina X 3/10/20,0
Argentina X 3/11/20,0
Argentina X 3/12/20,0
Armenia X 3/6/20,0
Armenia X 3/7/20,0
Armenia X 3/8/20,0
Armenia X 3/9/20,0
Armenia X 3/10/20,0
Armenia X 3/11/20,0
Armenia X 3/12/20,0
Australia X 3/6/20,0
Australia X 3/7/20,0
Australia X 3/8/20,0
Australia X 3/9/20,0
Australia X 3/10/20,0
Australia X 3/11/20,0
Australia X 3/12/20,0
Austria X 3/6/20,0
Austria X 3/7/20,0
Austria X 3/8/20,0
Austria X 3/9/20,0
Austria X 3/10/20,0
Austria X 3/11/20,0
Austria X 3/12/20,0
Azerbaijan X 3/6/20,0
Azerbaijan X 3/7/20,0
Azerbaijan X 3/8/20,0
Azerbaijan X 3/9/20,0
Azerbaijan X 3/10/20,0
Azerbaijan X 3/11/20,0
Azerbaijan X 3/12/20,0
Bahrain X 3/6/20,0
Bahrain X 3/7/20,0
Bahrain X 3/8/20,0
Bahrain X 3/9/20,0
Bahrain X 3/10/20,0
Bahrain X 3/11/20,0
Bahrain X 3/12/20,0
Bangladesh X 3/6/20,0
Bangladesh X 3/7/20,0
Bangladesh X 3/8/20,0
Bangladesh X 3/9/20,0
Bangladesh X 3/10/20,0
Bangladesh X 3/11/20,0
Bangladesh X 3/12/20,0
Belarus X 3/6/20,0
Belarus X 3/7/20,0
Belarus X 3/8/20,0
Belarus X 3/9/20,0
Belarus X 3/10/20,0
Belarus X 3/11/20,0
Belarus X 3/12/20,0
Belgium X 3/6/20,0
Belgium X 3/7/20,0
Belgium X 3/8/20,0
Belgium X 3/9/20,0
Belgium X 3/10/20,0
Belgium X 3/11/20,0
Belgium X 3/12/20,0
Bhutan X 3/6/20,0
Bhutan X 3/7/20,0
Bhutan X 3/8/20,0
Bhutan X 3/9/20,0
