Territory X Date,target,cases,Territory,Date,Continent
Afghanistan X 1/22/20,0,0,Afghanistan,1/22/2020,Asia
Afghanistan X 1/23/20,0,0,Afghanistan,1/23/2020,Asia
Afghanistan X 1/24/20,0,0,Afghanistan,1/24/2020,Asia
Afghanistan X 1/25/20,0,0,Afghanistan,1/25/2020,Asia
Afghanistan X 1/26/20,0,0,Afghanistan,1/26/2020,Asia
Afghanistan X 1/27/20,0,0,Afghanistan,1/27/2020,Asia
Afghanistan X 1/28/20,0,0,Afghanistan,1/28/2020,Asia
Afghanistan X 1/29/20,0,0,Afghanistan,1/29/2020,Asia
Afghanistan X 1/30/20,0,0,Afghanistan,1/30/2020,Asia
Afghanistan X 1/31/20,0,0,Afghanistan,1/31/2020,Asia
Afghanistan X 2/1/20,0,0,Afghanistan,2/1/2020,Asia
Afghanistan X 2/2/20,0,0,Afghanistan,2/2/2020,Asia
Afghanistan X 2/3/20,0,0,Afghanistan,2/3/2020,Asia
Afghanistan X 2/4/20,0,0,Afghanistan,2/4/2020,Asia
Afghanistan X 2/5/20,0,0,Afghanistan,2/5/2020,Asia
Afghanistan X 2/6/20,0,0,Afghanistan,2/6/2020,Asia
Afghanistan X 2/7/20,0,0,Afghanistan,2/7/2020,Asia
Afghanistan X 2/8/20,0,0,Afghanistan,2/8/2020,Asia
Afghanistan X 2/9/20,0,0,Afghanistan,2/9/2020,Asia
Afghanistan X 2/10/20,0,0,Afghanistan,2/10/2020,Asia
Afghanistan X 2/11/20,0,0,Afghanistan,2/11/2020,Asia
Afghanistan X 2/12/20,0,0,Afghanistan,2/12/2020,Asia
Afghanistan X 2/13/20,0,0,Afghanistan,2/13/2020,Asia
Afghanistan X 2/14/20,0,0,Afghanistan,2/14/2020,Asia
Afghanistan X 2/15/20,0,0,Afghanistan,2/15/2020,Asia
Afghanistan X 2/16/20,0,0,Afghanistan,2/16/2020,Asia
Afghanistan X 2/17/20,0,0,Afghanistan,2/17/2020,Asia
Afghanistan X 2/18/20,0,0,Afghanistan,2/18/2020,Asia
Afghanistan X 2/19/20,0,0,Afghanistan,2/19/2020,Asia
Afghanistan X 2/20/20,0,0,Afghanistan,2/20/2020,Asia
