Region X Date,target,cases
Afghanistan X 1/22/20,0,0
Afghanistan X 1/23/20,0,0
Afghanistan X 1/24/20,0,0
Afghanistan X 1/25/20,0,0
Afghanistan X 1/26/20,0,0
Afghanistan X 1/27/20,0,0
Afghanistan X 1/28/20,0,0
Afghanistan X 1/29/20,0,0
Afghanistan X 1/30/20,0,0
Afghanistan X 1/31/20,0,0
Afghanistan X 2/1/20,0,0
Afghanistan X 2/2/20,0,0
Afghanistan X 2/3/20,0,0
Afghanistan X 2/4/20,0,0
Afghanistan X 2/5/20,0,0
Afghanistan X 2/6/20,0,0
Afghanistan X 2/7/20,0,0
Afghanistan X 2/8/20,0,0
Afghanistan X 2/9/20,0,0
Afghanistan X 2/10/20,0,0
Afghanistan X 2/11/20,0,0
Afghanistan X 2/12/20,0,0
Afghanistan X 2/13/20,0,0
Afghanistan X 2/14/20,0,0
Afghanistan X 2/15/20,0,0
Afghanistan X 2/16/20,0,0
Afghanistan X 2/17/20,0,0
Afghanistan X 2/18/20,0,0
Afghanistan X 2/19/20,0,0
Afghanistan X 2/20/20,0,0
Afghanistan X 2/21/20,0,0
Afghanistan X 2/22/20,0,0
Afghanistan X 2/23/20,0,0
Afghanistan X 2/24/20,0,1
Afghanistan X 2/25/20,0,1
Afghanistan X 2/26/20,0,1
Afghanistan X 2/27/20,0,1
Afghanistan X 2/28/20,0,1
Afghanistan X 2/29/20,0,1
Afghanistan X 3/1/20,0,1
Afghanistan X 3/2/20,0,1
Afghanistan X 3/3/20,0,1
Afghanistan X 3/4/20,0,1
Afghanistan X 3/5/20,0,1
Albania X 1/22/20,0,0
Albania X 1/23/20,0,0
Albania X 1/24/20,0,0
Albania X 1/25/20,0,0
Albania X 1/26/20,0,0
Albania X 1/27/20,0,0
Albania X 1/28/20,0,0
Albania X 1/29/20,0,0
Albania X 1/30/20,0,0
Albania X 1/31/20,0,0
Albania X 2/1/20,0,0
Albania X 2/2/20,0,0
Albania X 2/3/20,0,0
Albania X 2/4/20,0,0
Albania X 2/5/20,0,0
Albania X 2/6/20,0,0
Albania X 2/7/20,0,0
Albania X 2/8/20,0,0
Albania X 2/9/20,0,0
Albania X 2/10/20,0,0
Albania X 2/11/20,0,0
Albania X 2/12/20,0,0
Albania X 2/13/20,0,0
Albania X 2/14/20,0,0
Albania X 2/15/20,0,0
Albania X 2/16/20,0,0
Albania X 2/17/20,0,0
Albania X 2/18/20,0,0
Albania X 2/19/20,0,0
Albania X 2/20/20,0,0
Albania X 2/21/20,0,0
Albania X 2/22/20,0,0
Albania X 2/23/20,0,0
Albania X 2/24/20,0,0
Albania X 2/25/20,0,0
Albania X 2/26/20,0,0
Albania X 2/27/20,0,0
Albania X 2/28/20,0,0
Albania X 2/29/20,0,0
Albania X 3/1/20,0,0
Albania X 3/2/20,0,0
Albania X 3/3/20,0,0
Albania X 3/4/20,0,0
Albania X 3/5/20,0,0
Algeria X 1/22/20,0,0
Algeria X 1/23/20,0,0
Algeria X 1/24/20,0,0
Algeria X 1/25/20,0,0
Algeria X 1/26/20,0,0
Algeria X 1/27/20,0,0
Algeria X 1/28/20,0,0
Algeria X 1/29/20,0,0
Algeria X 1/30/20,0,0
Algeria X 1/31/20,0,0
Algeria X 2/1/20,0,0
Algeria X 2/2/20,0,0
Algeria X 2/3/20,0,0
Algeria X 2/4/20,0,0
Algeria X 2/5/20,0,0
Algeria X 2/6/20,0,0
Algeria X 2/7/20,0,0
Algeria X 2/8/20,0,0
Algeria X 2/9/20,0,0
Algeria X 2/10/20,0,0
Algeria X 2/11/20,0,0
Algeria X 2/12/20,0,0
Algeria X 2/13/20,0,0
Algeria X 2/14/20,0,0
Algeria X 2/15/20,0,0
Algeria X 2/16/20,0,0
Algeria X 2/17/20,0,0
Algeria X 2/18/20,0,0
Algeria X 2/19/20,0,0
Algeria X 2/20/20,0,0
Algeria X 2/21/20,0,0
Algeria X 2/22/20,0,0
Algeria X 2/23/20,0,0
Algeria X 2/24/20,0,0
Algeria X 2/25/20,0,1
Algeria X 2/26/20,0,1
Algeria X 2/27/20,0,1
Algeria X 2/28/20,0,1
Algeria X 2/29/20,0,1
Algeria X 3/1/20,0,1
Algeria X 3/2/20,0,3
Algeria X 3/3/20,0,5
Algeria X 3/4/20,0,12
Algeria X 3/5/20,0,12
Andorra X 1/22/20,0,0
Andorra X 1/23/20,0,0
Andorra X 1/24/20,0,0
Andorra X 1/25/20,0,0
Andorra X 1/26/20,0,0
Andorra X 1/27/20,0,0
Andorra X 1/28/20,0,0
Andorra X 1/29/20,0,0
Andorra X 1/30/20,0,0
Andorra X 1/31/20,0,0
Andorra X 2/1/20,0,0
Andorra X 2/2/20,0,0
Andorra X 2/3/20,0,0
Andorra X 2/4/20,0,0
Andorra X 2/5/20,0,0
Andorra X 2/6/20,0,0
Andorra X 2/7/20,0,0
Andorra X 2/8/20,0,0
Andorra X 2/9/20,0,0
Andorra X 2/10/20,0,0
Andorra X 2/11/20,0,0
Andorra X 2/12/20,0,0
Andorra X 2/13/20,0,0
Andorra X 2/14/20,0,0
Andorra X 2/15/20,0,0
Andorra X 2/16/20,0,0
Andorra X 2/17/20,0,0
Andorra X 2/18/20,0,0
Andorra X 2/19/20,0,0
Andorra X 2/20/20,0,0
Andorra X 2/21/20,0,0
Andorra X 2/22/20,0,0
Andorra X 2/23/20,0,0
Andorra X 2/24/20,0,0
Andorra X 2/25/20,0,0
Andorra X 2/26/20,0,0
Andorra X 2/27/20,0,0
Andorra X 2/28/20,0,0
Andorra X 2/29/20,0,0
Andorra X 3/1/20,0,0
Andorra X 3/2/20,0,1
Andorra X 3/3/20,0,1
Andorra X 3/4/20,0,1
Andorra X 3/5/20,0,1
Argentina X 1/22/20,0,0
Argentina X 1/23/20,0,0
Argentina X 1/24/20,0,0
Argentina X 1/25/20,0,0
